,Visit,Values,Arm
4555,0m,26.279964197098,AZM
4554,0m,25.3842154251264,AZM
4553,0m,24.1664479560468,AZM
4552,0m,35.8039467215999,AZM
4551,0m,66.0571818298916,AZM
4550,0m,32.0909292877848,AZM
4549,0m,32.410867719055,AZM
4548,0m,39.9707840734568,AZM
4547,0m,43.5990228718811,AZM
4546,0m,47.5124308641316,AZM
4557,0m,40.8314156102376,AZM
4545,0m,38.9089322791373,AZM
4543,0m,82.7995120013392,AZM
4542,0m,29.8131111906328,AZM
4541,0m,32.0274356603647,AZM
4540,0m,44.3090372529545,AZM
4539,0m,36.5183096650951,AZM
4538,0m,97.3470606549898,AZM
4537,0m,39.0019884448155,AZM
4536,0m,29.4757558966274,AZM
4535,0m,23.5639639829516,AZM
4534,0m,33.8641633838042,AZM
4544,0m,98.1477765338171,AZM
4608,0m,57.164570278411,AZM
4609,0m,46.1398682088655,AZM
4610,0m,48.4973944814555,AZM
4683,0m,50.9947899078823,AZM
4682,0m,48.307052395472,AZM
4681,0m,27.1545376786369,AZM
4680,0m,40.1782755138896,AZM
4679,0m,42.3712986627442,AZM
4678,0m,40.2135335780994,AZM
4677,0m,32.0860846590987,AZM
4676,0m,53.8620636588837,AZM
4675,0m,47.1203182497255,AZM
4674,0m,45.0128489806699,AZM
4673,0m,55.065432734402,AZM
4672,0m,37.489582670906,AZM
4671,0m,35.9143348085025,AZM
4670,0m,66.5566954152383,AZM
4669,0m,42.2622228892533,AZM
4668,0m,41.5075784861312,AZM
4667,0m,18.8963899179112,AZM
4666,0m,48.8880499771615,AZM
4665,0m,32.6169616719507,AZM
4664,0m,45.5360500326512,AZM
4663,0m,39.9145460298426,AZM
4684,0m,38.8352039270499,AZM
4685,0m,41.786803140204,AZM
4686,0m,25.2763169945081,AZM
4687,0m,54.3718918514072,AZM
4709,0m,33.217794373541,AZM
4708,0m,30.2036844793976,AZM
4707,0m,54.2981629374326,AZM
4706,0m,40.1530153485382,AZM
4705,0m,40.3098308079028,AZM
4704,0m,37.7179363030856,AZM
4703,0m,34.9728374972493,AZM
4702,0m,31.488189584209,AZM
4701,0m,37.3377467614336,AZM
4700,0m,38.421731316568,AZM
4662,0m,45.7889733324826,AZM
4699,0m,29.5869138097906,AZM
4697,0m,54.6782204002351,AZM
4696,0m,36.9877418461924,AZM
4695,0m,41.2999025740549,AZM
4694,0m,37.2396376498272,AZM
4693,0m,47.9606517262538,AZM
4692,0m,43.7617740594205,AZM
4691,0m,44.8614722489513,AZM
4690,0m,50.3938724746552,AZM
4689,0m,45.1005713198985,AZM
4688,0m,39.2202638468457,AZM
4698,0m,40.2190845124151,AZM
4661,0m,31.7011083311786,AZM
4660,0m,22.7182888678659,AZM
4659,0m,65.7931336950826,AZM
4632,0m,48.5580696063933,AZM
4631,0m,55.6556862422536,AZM
4630,0m,49.2365772546616,AZM
4629,0m,46.6805605805046,AZM
4628,0m,54.1908056911654,AZM
4627,0m,52.2166742474538,AZM
4626,0m,69.0429330254544,AZM
4625,0m,51.6502581464869,AZM
4624,0m,52.2178374736796,AZM
4623,0m,40.2503732863811,AZM
