"Estimate","Std..Error","t.value","Pr...t.."
"phi.(Intercept)",-5.25098355043566,0.329855944296022,-15.9190205337736,6.44344616984799e-39
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-29.4082638550681,14717.4620403794,-0.00199818853103765,0.998407416858832
"mu.visitWeek 72",21.0328686030734,14717.4620194127,0.00142910975923229,0.998860979923989
"phi.(Intercept)",-3.66571365379611,1.06387296154217,-3.44563099759801,0.000677596002631525
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.11212794015402,0.625032755170864,-14.578640662861,1.70124903748565e-34
"mu.visitWeek 72",-1.12829653919409,0.66665975853354,-1.69246234642394,0.0919179037524867
"phi.(Intercept)",-5.09279327351373,0.686224413885137,-7.42146908571833,2.25321838475681e-12
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.65361462741277,0.954398541335318,-10.1148673319494,4.04408371148671e-20
"mu.visitWeek 72",1.55671365873834,0.781818365628296,1.99114490932599,0.0476533752002562
"phi.(Intercept)",-3.83844353561908,0.776175536875941,-4.94532918554556,1.47046562251079e-06
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.4667704799206,1.2087021736445,-7.83217792301658,1.77899140754312e-13
"mu.visitWeek 72",0.41676710992883,0.912942381043543,0.456509762918929,0.648456133595294
"phi.(Intercept)",-3.61846988550666,1.17971864539419,-3.06723124164711,0.00242048058497222
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.37175936086931,0.25269662632172,-29.1723695253612,4.42264759661575e-79
"mu.visitWeek 72",-0.297995118349368,0.241892441742904,-1.23193232579831,0.219237829800224
"phi.(Intercept)",-4.9995542106266,0.269410144734803,-18.5574088739233,1.55140440251861e-47
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.42418926565005,0.394198069945037,-18.8336519929821,1.99709621965687e-48
"mu.visitWeek 72",-0.664687990720644,0.358804283513,-1.85250851582033,0.0652396163616304
"phi.(Intercept)",-4.20895161857895,0.420494393437165,-10.0095308861898,8.49332426386424e-20
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.86096610684872,0.370899022772047,-23.8905080973875,4.04161827460261e-64
