"","average","sd","ratio","ava","avb","cumsum","p"
"Amnipila",3.45545006107803e-05,0.000156499280659611,0.220796545933888,6.73242740377243e-05,2.01442732852691e-06,0.998724109134627,0.0099009900990099
"ASV_472",3.43833400663258e-05,0.000186751818740448,0.184112477716281,3.62180290744892e-05,3.35904388446055e-05,0.998787801582073,0.574257425742574
"ASV_543",3.36006442291733e-05,0.000299963035581465,0.112015949445371,4.23131170662905e-05,2.52244980324892e-05,0.998850044146717,0.455445544554455
"ASV_689",3.09947860391301e-05,0.000210214100294623,0.14744389646408,0,6.19895720782601e-05,0.998907459562935,0.881188118811881
"Fretibacterium",2.97771900541845e-05,0.000176449204970619,0.168757859006181,5.39459187904741e-05,5.98406324277185e-06,0.998962619477853,0.0396039603960396
"Sneathia",2.36259755437253e-05,0.000241521279763622,0.0978215069365657,9.29328771173911e-06,3.8079355423916e-05,0.999006384749137,0.762376237623762
"Bulleidia",2.23210987996546e-05,0.000151827197911955,0.147016470741947,4.0205008610545e-05,4.76756217642429e-06,0.999047732838343,0.0594059405940594
"ASV_591",2.04212812003359e-05,0.000229732047231784,0.0888917390777972,3.89757181276065e-06,3.69956084036613e-05,0.99908556166408,0.722772277227723
"ASV_682",2.00638289929022e-05,8.70034453729432e-05,0.230609591458108,3.25140384808639e-05,8.403229740688e-06,0.999122728337569,0.0297029702970297
"ASV_897",1.99618031028438e-05,0.000206728213879916,0.0965606132235014,3.99236062056877e-05,0,0.999159706016079,0.207920792079208
"ASV_508",1.95628742066165e-05,0.000141935554560689,0.137829272356503,3.9125748413233e-05,0,0.999195944710019,0.0792079207920792
"ASV_644",1.83112591082869e-05,0.000136521591404408,0.134127202297583,5.90712163801858e-06,3.09398038392382e-05,0.999229864884911,1
"Hyphomicrobium",1.6813410152493e-05,7.21098782436929e-05,0.233163757338109,1.43742651649859e-05,1.99939829782771e-05,0.999261010411799,0.752475247524752
"ASV_383",1.6488122235817e-05,0.000119394376782859,0.138097979821979,2.2385315233207e-06,3.0824928462209e-05,0.999291553368271,1
"ASV_1054",1.62512182305162e-05,9.96131161841242e-05,0.163143357552208,2.23159492088996e-06,3.04141551772796e-05,0.999321657478607,0.940594059405941
"ASV_1212",1.57042851908037e-05,0.000136475411860863,0.115070436327492,1.55899834356426e-05,1.60210542633108e-05,0.999350748438277,0.742574257425743
"ASV_1095",1.51615512186851e-05,0.000108400090644375,0.139866591702632,2.9578419011603e-05,7.97875099036247e-07,0.999378834025726,0.0198019801980198
"Rodentibacter",1.50911404673755e-05,0.000116612772092215,0.129412415094992,0,3.01822809347509e-05,0.999406789182766,1
"ASV_1272",1.4700063605215e-05,7.80961699033176e-05,0.188230275869016,2.68446080687222e-06,2.69178358532788e-05,0.999434019900515,0.772277227722772
"Scardovia",1.46906967038355e-05,8.78019976205313e-05,0.167316201247798,9.47979846261281e-06,2.02475137158592e-05,0.999461233266813,1
"Family_XIII_UCG-001",1.43123647277567e-05,5.85800607393145e-05,0.244321438850119,2.33978863473616e-05,5.78093239193272e-06,0.999487745802724,0.0495049504950495
"Sphingopyxis",1.41865165217944e-05,9.00914193819029e-05,0.157468009929524,1.85941289677786e-05,1.00468192559694e-05,0.99951402521468,0.297029702970297
"ASV_1401",1.30007971200056e-05,0.000114661228110534,0.113384422391436,1.55801965756717e-05,1.05622273625062e-05,0.99953810817421,0.524752475247525
"Delftia",1.21446216984354e-05,6.10855455938727e-05,0.198813345781979,1.30905194410256e-05,1.16448905062326e-05,0.999560605135755,0.554455445544555
"ASV_1202",1.1366532781675e-05,8.24015758510149e-05,0.137940720966624,2.27330655633499e-05,0,0.999581660748458,0.0594059405940594
"ASV_1415",1.13510391847142e-05,7.0454765269556e-05,0.161111021252937,0,2.27020783694283e-05,0.999602687660484,0.782178217821782
"Escherichia/Shigella",1.07999514752551e-05,0.00010547211798277,0.102396270045695,1.6553550736633e-05,5.11454616271338e-06,0.999622693725643,0.504950495049505
"Brevibacterium",1.0285229330511e-05,9.16378670684409e-05,0.11223776436033,0,2.05704586610219e-05,0.999641746308299,1
"Desulfomicrobium",1.01540023625857e-05,8.75887293466358e-05,0.115928184348934,2.03080047251714e-05,0,0.999660555803264,0.158415841584158
"ASV_854",1.01263635736374e-05,6.82393067726406e-05,0.148394877564867,8.53473359487622e-06,1.19106677645602e-05,0.999679314099534,0.900990099009901
"Olsenella",1.01063555093286e-05,9.61042786479784e-05,0.10516030765235,0,2.02127110186571e-05,0.999698035332431,1
"ASV_1258",9.92089896101814e-06,6.95026426339215e-05,0.142741320114584,1.98417979220363e-05,0,0.999716413021582,0.0891089108910891
"ASV_1398",9.83908623132797e-06,6.70921016913944e-05,0.146650439966617,1.92164492805842e-06,1.78526962902981e-05,0.999734639159051,1
"ASV_561",9.76200069035304e-06,8.01078218483682e-05,0.121860767963845,1.40078835276614e-05,5.61938061938062e-06,0.999752722501587,0.297029702970297
"ASV_1343",9.46092878705227e-06,6.0284574219802e-05,0.15693780555797,1.11674597675019e-05,7.9551353339016e-06,0.999770248131976,0.574257425742574
"ASV_639",8.7839573841331e-06,5.882530510129e-05,0.149322767965388,1.01455729742678e-05,7.55410248197591e-06,0.999786519725806,0.425742574257426
"Brevundimonas",7.92770930560727e-06,7.68171285934147e-05,0.103202364508674,0,1.58554186112145e-05,0.999801205187059,1
"ASV_1230",7.922505543191e-06,6.92496001358604e-05,0.114405072775119,0,1.5845011086382e-05,0.99981588100875,1
